S_1	S_2	prS_1	prS_2	mean_S	sd_S	tot_S	D_1	D_2	mean_D	sd_D	Pi_1	Pi_2	mean_Pi	sd_Pi	FST_2_1	PI_2_1	
6	18	6	18	12	8.48528	24	0.112873	-0.00470865	0.0540821	0.0831426	1.90476	4.71077	3.30777	1.98415	0.979888	183.785	
23	4	22	3	13.5	13.435	26	0.274626	-1.21299	-0.469183	1.0519	7.54286	0.572308	4.05758	4.92892	0.985379	211.164	
12	11	12	11	11.5	0.707107	23	-0.0352485	1.00796	0.486358	0.737663	3.65714	3.75692	3.70703	0.0705553	0.988588	326.054	
15	8	14	7	11.5	4.94975	22	-1.14053	-0.979883	-1.06021	0.113595	3.29524	1.44308	2.36916	1.30968	0.988656	186.062	
11	48	10	47	29.5	26.163	58	-0.186782	0.409579	0.111398	0.421691	3.21905	13.9292	8.57414	7.57324	0.929767	142.231	
24	48	21	45	36	16.9706	69	-1.19451	0.697933	-0.248288	1.33816	5.25714	14.88	10.0686	6.80439	0.97333	427.195	
64	11	64	11	37.5	37.4767	75	-1.54659	-0.15557	-0.851081	0.983602	12.6667	2.74769	7.70718	7.01377	0.936282	100.259	
26	14	26	14	20	8.48528	40	1.9702	-0.162635	0.90378	1.50814	11.7714	3.49538	7.63341	5.85205	0.880716	55.2564	
7	24	7	24	15.5	12.0208	31	-0.988476	0.558312	-0.215082	1.09374	1.5619	7.25231	4.40711	4.02372	0.980883	271.795	
56	1	56	1	28.5	38.8909	57	1.96835	1.1299	1.54912	0.592868	25.0667	0.443077	12.7549	17.4115	0.876525	78.2923	
14	32	14	32	23	12.7279	46	-0.772383	0.650553	-0.0609146	1.00617	3.46667	9.84923	6.65795	4.51315	0.983458	456.1	
23	25	23	25	24	1.41421	48	0.274626	-0.8717	-0.298537	0.810575	7.54286	4.99077	6.26681	1.8046	0.96909	191.421	
36	25	36	25	30.5	7.77817	61	1.17477	-0.885449	0.144659	1.45679	14.1333	4.96615	9.54974	6.48217	0.873784	66.5795	
11	11	11	11	11	0	22	-0.599109	0.59647	-0.00131902	0.845402	2.85714	3.4	3.12857	0.383858	0.955805	72.4538	
9	7	9	7	8	1.41421	16	-0.266162	0.399558	0.0666978	0.470735	2.57143	2.07385	2.32264	0.351844	0.991251	257.503	
28	14	27	13	21	9.89949	41	1.0562	-2.04981	-0.496809	2.19628	10.781	1.48308	6.13201	6.57459	0.937282	78.041	
0	1	0	1	0.5	0.707107	1	0	-0.310532	-0.155266	0.219579	0	0.212308	0.106154	0.150124	0.996985	45.1154	
70	35	67	32	52.5	24.7487	102	-0.276	0.835381	0.279691	0.785865	20.1619	11.2154	15.6886	6.32615	0.900701	146.421	
13	31	12	30	22	12.7279	43	-0.335308	1.23106	0.447875	1.10759	3.65714	10.8123	7.23473	5.05947	0.984169	519.815	
4	7	4	7	5.5	2.12132	11	-0.475738	-1.60287	-1.0393	0.797	1.04762	0.873846	0.960733	0.122876	0.973382	35.1949	
53	47	51	45	50	4.24264	98	0.623889	0.542757	0.583323	0.0573685	18.6571	14.0708	16.364	3.24306	0.970741	537.754	
28	50	26	48	39	15.5563	76	-0.705527	0.0265385	-0.339494	0.517649	7.1619	13.1938	10.1779	4.26523	0.900089	109.621	
0	9	0	9	4.5	6.36396	9	0	-0.102789	-0.0513943	0.0726826	0	2.28308	1.14154	1.61438	0.987861	120.269	
2	105	2	105	53.5	72.832	107	0.13916	-1.20649	-0.533667	0.951521	0.647619	19.04	9.84381	13.0054	0.887983	108.705	
5	27	5	27	16	15.5563	32	-0.908004	0.554737	-0.176634	1.03431	1.12381	8.14154	4.63267	4.96228	0.886941	48.841	
2	6	2	6	4	2.82843	8	-1.00161	-0.590879	-0.796243	0.290429	0.380952	1.25846	0.819707	0.620493	0.990754	101.931	
63	31	63	31	47	22.6274	94	-0.222568	0.0856216	-0.0684731	0.217923	18.381	8.31077	13.3459	7.12069	0.487657	24.5513	
168	4	168	4	86	115.966	172	2.22091	0.324083	1.2725	1.34126	77.6571	1.17538	39.4163	54.0808	0.607568	82.6359	
43	67	41	65	55	16.9706	108	-1.22267	0.83132	-0.195673	1.45239	9.44762	21.3323	15.39	8.40374	0.869594	129.364	
46	32	44	30	39	9.89949	76	-0.050395	1.091	0.520303	0.807089	13.981	10.84	12.4105	2.22099	0.91624	143.277	
